postcode,lon,lat,area_code,area_name,geometry
M16 0TG,-2.276162,53.461947,E05000832,Longford,"c(-2.276162, 53.461947)"
M16 0TH,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0TJ,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0TL,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0TN,-2.277158,53.453082,E05000832,Longford,"c(-2.277158, 53.453082)"
M16 0TP,-2.283461,53.454397,E05000832,Longford,"c(-2.283461, 53.454397)"
M16 0TQ,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0TR,-2.277052,53.459976,E05000832,Longford,"c(-2.277052, 53.459976)"
M16 0TS,-2.277158,53.453082,E05000832,Longford,"c(-2.277158, 53.453082)"
M16 0TT,-2.316901,53.435212,E05000836,Stretford,"c(-2.316901, 53.435212)"
M16 0TU,-2.277052,53.459976,E05000832,Longford,"c(-2.277052, 53.459976)"
M16 0TW,-2.282802,53.459433,E05000832,Longford,"c(-2.282802, 53.459433)"
M16 0TX,-2.27858,53.458625,E05000832,Longford,"c(-2.27858, 53.458625)"
M16 0TY,-2.262773,53.457338,E05000825,Clifford,"c(-2.262773, 53.457338)"
M16 0TZ,-2.277158,53.453082,E05000832,Longford,"c(-2.277158, 53.453082)"
M16 0UB,-2.275289,53.459782,E05000832,Longford,"c(-2.275289, 53.459782)"
M16 0UD,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0UJ,-2.2752,53.452961,E05000832,Longford,"c(-2.2752, 53.452961)"
M16 0UL,-2.277112,53.452921,E05000832,Longford,"c(-2.277112, 53.452921)"
M16 0UQ,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0UR,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0US,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0UT,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0UU,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0UW,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0UX,-2.27969,53.451027,E05000832,Longford,"c(-2.27969, 53.451027)"
M16 0UY,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0UZ,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0WA,-2.276151,53.455718,E05000832,Longford,"c(-2.276151, 53.455718)"
M16 0WB,-2.277056,53.455932,E05000832,Longford,"c(-2.277056, 53.455932)"
M16 0WD,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0WE,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0WF,-2.277588,53.461198,E05000832,Longford,"c(-2.277588, 53.461198)"
M16 0WG,-2.282742,53.457222,E05000832,Longford,"c(-2.282742, 53.457222)"
M16 0WH,-2.277708,53.461144,E05000832,Longford,"c(-2.277708, 53.461144)"
M16 0WJ,-2.276915,53.459582,E05000832,Longford,"c(-2.276915, 53.459582)"
M16 0WL,-2.276505,53.459214,E05000832,Longford,"c(-2.276505, 53.459214)"
M16 0WN,-2.277671,53.457728,E05000832,Longford,"c(-2.277671, 53.457728)"
M16 0WP,-2.277769,53.45664,E05000832,Longford,"c(-2.277769, 53.45664)"
M16 0WQ,-2.277679,53.456739,E05000832,Longford,"c(-2.277679, 53.456739)"
M16 0WR,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0WS,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0WT,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0WU,-2.282599,53.456027,E05000832,Longford,"c(-2.282599, 53.456027)"
M16 0WW,-2.277772,53.457054,E05000832,Longford,"c(-2.277772, 53.457054)"
M16 0WX,-2.282068,53.457745,E05000832,Longford,"c(-2.282068, 53.457745)"
M16 0WY,-2.280693,53.457065,E05000832,Longford,"c(-2.280693, 53.457065)"
M16 0WZ,-2.283381,53.455872,E05000832,Longford,"c(-2.283381, 53.455872)"
M16 0XA,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0XB,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0XD,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0XE,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0XF,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0XG,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0XH,-2.277158,53.453082,E05000832,Longford,"c(-2.277158, 53.453082)"
M16 0XJ,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0XL,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
