postcode,area_code,area_name,locality,lon,lat
M16 0SZ,E05000829,Gorse Hill,North,-2.289206,53.464352
M16 0TA,E05000825,Clifford,North,-2.262773,53.457321
M16 0TB,E05000825,Clifford,North,-2.262773,53.457321
M16 0TD,E05000825,Clifford,North,-2.262773,53.457321
M16 0TE,E05000825,Clifford,North,-2.262773,53.457321
M16 0TF,E05000832,Longford,North,-2.277112,53.452921
M16 0TG,E05000832,Longford,North,-2.276162,53.461947
M16 0TH,E05000825,Clifford,North,-2.262773,53.457321
M16 0TJ,E05000825,Clifford,North,-2.262773,53.457321
M16 0TL,E05000825,Clifford,North,-2.262773,53.457321
M16 0TN,E05000832,Longford,North,-2.277158,53.453082
M16 0TP,E05000832,Longford,North,-2.283461,53.454397
M16 0TQ,E05000825,Clifford,North,-2.262773,53.457321
M16 0TR,E05000832,Longford,North,-2.277052,53.459976
M16 0TS,E05000832,Longford,North,-2.277158,53.453082
M16 0TT,E05000836,Stretford,North,-2.316901,53.435212
M16 0TU,E05000832,Longford,North,-2.277052,53.459976
M16 0TW,E05000832,Longford,North,-2.282802,53.459433
M16 0TX,E05000832,Longford,North,-2.27858,53.458625
M16 0TY,E05000825,Clifford,North,-2.262773,53.457338
M16 0TZ,E05000832,Longford,North,-2.277158,53.453082
M16 0UB,E05000832,Longford,North,-2.275289,53.459782
M16 0UD,E05000825,Clifford,North,-2.262773,53.457321
M16 0UJ,E05000832,Longford,North,-2.2752,53.452961
M16 0UL,E05000832,Longford,North,-2.277112,53.452921
M16 0UQ,E05000825,Clifford,North,-2.262773,53.457321
M16 0UR,E05000825,Clifford,North,-2.262773,53.457321
M16 0US,E05000825,Clifford,North,-2.262773,53.457321
M16 0UT,E05000825,Clifford,North,-2.262773,53.457321
M16 0UU,E05000825,Clifford,North,-2.262773,53.457321
M16 0UW,E05000825,Clifford,North,-2.262773,53.457321
M16 0UX,E05000832,Longford,North,-2.27969,53.451027
M16 0UY,E05000825,Clifford,North,-2.262773,53.457321
M16 0UZ,E05000825,Clifford,North,-2.262773,53.457321
M16 0WA,E05000832,Longford,North,-2.276151,53.455718
M16 0WB,E05000832,Longford,North,-2.277056,53.455932
M16 0WD,E05000825,Clifford,North,-2.262773,53.457321
M16 0WE,E05000825,Clifford,North,-2.262773,53.457321
M16 0WF,E05000832,Longford,North,-2.277588,53.461198
M16 0WG,E05000832,Longford,North,-2.282742,53.457222
M16 0WH,E05000832,Longford,North,-2.277708,53.461144
M16 0WJ,E05000832,Longford,North,-2.276915,53.459582
M16 0WL,E05000832,Longford,North,-2.276505,53.459214
M16 0WN,E05000832,Longford,North,-2.277671,53.457728
M16 0WP,E05000832,Longford,North,-2.277769,53.45664
M16 0WQ,E05000832,Longford,North,-2.277679,53.456739
M16 0WR,E05000825,Clifford,North,-2.262773,53.457321
M16 0WS,E05000825,Clifford,North,-2.262773,53.457321
M16 0WT,E05000825,Clifford,North,-2.262773,53.457321
M16 0WU,E05000832,Longford,North,-2.282599,53.456027
M16 0WW,E05000832,Longford,North,-2.277772,53.457054
M16 0WX,E05000832,Longford,North,-2.282068,53.457745
M16 0WY,E05000832,Longford,North,-2.280693,53.457065
M16 0WZ,E05000832,Longford,North,-2.283381,53.455872
M16 0XA,E05000825,Clifford,North,-2.262773,53.457321
M16 0XB,E05000825,Clifford,North,-2.262773,53.457321
M16 0XD,E05000825,Clifford,North,-2.262773,53.457321
M16 0XE,E05000825,Clifford,North,-2.262773,53.457321
M16 0XF,E05000825,Clifford,North,-2.262773,53.457321
M16 0XG,E05000825,Clifford,North,-2.262773,53.457321
M16 0XH,E05000832,Longford,North,-2.277158,53.453082
M16 0XJ,E05000825,Clifford,North,-2.262773,53.457321
M16 0XL,E05000825,Clifford,North,-2.262773,53.457321
M16 0XN,E05000825,Clifford,North,-2.262773,53.457321
M16 0XP,E05000825,Clifford,North,-2.262773,53.457321
M16 0XQ,E05000825,Clifford,North,-2.262773,53.457321
M16 0XR,E05000825,Clifford,North,-2.262773,53.457321
M16 0XS,E05000825,Clifford,North,-2.262773,53.457321
M16 0XT,E05000825,Clifford,North,-2.262773,53.457321
M16 0XU,E05000825,Clifford,North,-2.262773,53.457321
M16 0XW,E05000825,Clifford,North,-2.262773,53.457321
M16 0XX,E05000832,Longford,North,-2.287086,53.460349
M16 0XY,E05000825,Clifford,North,-2.262773,53.457321
