postcode,lat,long
M16 0YW,53.457321,-2.262773
M16 0YX,53.457321,-2.262773
M16 0YY,53.459771,-2.284235
M16 0YZ,53.457321,-2.262773
M16 0ZA,53.457321,-2.262773
M16 0ZB,53.457321,-2.262773
M16 0ZD,53.457321,-2.262773
M16 0ZE,53.457321,-2.262773
M16 0ZF,53.457321,-2.262773
M16 0ZG,53.457321,-2.262773
M16 0ZH,53.457321,-2.262773
M16 0ZJ,53.457321,-2.262773
M16 0ZX,53.457321,-2.262773
M16 1AA,53.455918,-2.28308
M16 1AB,53.455918,-2.28308
M16 1AE,53.455918,-2.28308
M16 1AF,53.455918,-2.28308
M16 1AG,53.455918,-2.28308
M16 1AJ,53.455918,-2.28308
M16 1AL,53.455918,-2.28308
M16 1AR,53.455918,-2.28308
M16 1AU,53.455918,-2.28308
M16 1AX,53.455918,-2.28308
M16 1BA,53.455918,-2.28308
M16 1BG,53.455918,-2.28308
M16 1BH,53.455918,-2.28308
M16 1BJ,53.455918,-2.28308
M16 1BL,53.455918,-2.28308
M16 1BN,53.455918,-2.28308
M16 1BS,53.455918,-2.28308
M16 1DS,53.455918,-2.28308
M16 1FR,53.455918,-2.28308
M16 1HY,53.455918,-2.28308
M16 1HZ,53.455918,-2.28308
M16 1JP,53.455918,-2.28308
M16 1LB,53.455918,-2.28308
M16 1LP,53.455918,-2.28308
M16 1NW,53.455918,-2.28308
M16 1PH,53.455918,-2.28308
M16 1PN,53.455918,-2.28308
M16 1PP,53.455918,-2.28308
M16 1PZ,53.455918,-2.28308
M16 1RL,53.455918,-2.28308
M16 1SD,53.455918,-2.28308
M16 1TB,53.455918,-2.28308
M16 1WZ,53.457321,-2.262773
M16 1ZL,53.455918,-2.28308
M16 6AD,53.457321,-2.262773
M16 6AG,53.457321,-2.262773
M16 6AJ,53.457321,-2.262773
M16 6AL,53.457321,-2.262773
M16 6AP,53.457321,-2.262773
M16 6AR,53.457321,-2.262773
M16 6AS,53.457321,-2.262773
M16 6AT,53.457321,-2.262773
M16 6AU,53.457321,-2.262773
M16 6AX,53.457321,-2.262773
M16 6AY,53.457321,-2.262773
M16 6AZ,53.457321,-2.262773
M16 6BB,53.457321,-2.262773
M16 6BD,53.457321,-2.262773
M16 6BF,53.457321,-2.262773
M16 6BG,53.457321,-2.262773
M16 6BJ,53.457321,-2.262773
M16 6BL,53.457321,-2.262773
M16 6BR,53.457321,-2.262773
M16 6BS,53.457321,-2.262773
M16 6BU,53.457321,-2.262773
M16 6BW,53.457321,-2.262773
M16 6BX,53.457321,-2.262773
M16 6BZ,53.457321,-2.262773
M16 6DA,53.457321,-2.262773
M16 6DB,53.457321,-2.262773
M16 6DD,53.457321,-2.262773
M16 6DE,53.457321,-2.262773
M16 6DF,53.457321,-2.262773
M16 6DG,53.457321,-2.262773
M16 6DH,53.457321,-2.262773
M16 6DJ,53.457321,-2.262773
M16 6DL,53.457321,-2.262773
M16 6DN,53.457321,-2.262773
M16 6DP,53.457321,-2.262773
M16 6DQ,53.457321,-2.262773
M16 6DR,53.457321,-2.262773
M16 6DS,53.457321,-2.262773
M16 6DT,53.457321,-2.262773
M16 6DU,53.457321,-2.262773
M16 6DW,53.457321,-2.262773
M16 6DX,53.457338,-2.262773
M16 6DY,53.457321,-2.262773
M16 6DZ,53.457321,-2.262773
M16 6EA,53.457321,-2.262773
M16 6EB,53.457321,-2.262773
M16 6ED,53.457321,-2.262773
M16 6EE,53.457321,-2.262773
M16 6EF,53.457321,-2.262773
M16 6EG,53.457321,-2.262773
M16 6EH,53.457321,-2.262773
M16 6EJ,53.457321,-2.262773
M16 6EL,53.457321,-2.262773
M16 6EN,53.457321,-2.262773
M16 6EP,53.457321,-2.262773
M16 6EQ,53.457321,-2.262773
M16 6ER,53.457321,-2.262773
M16 6ES,53.457321,-2.262773
M16 6ET,53.457321,-2.262773
M16 6EU,53.457321,-2.262773
M16 6EW,53.457321,-2.262773
M16 6EX,53.457321,-2.262773
M16 6EY,53.457321,-2.262773
M16 6EZ,53.457321,-2.262773
M16 6FA,53.457321,-2.262773
M16 6FB,53.457321,-2.262773
M16 6FE,53.457321,-2.262773
M16 6FF,53.457321,-2.262773
M16 6FG,53.457321,-2.262773
M16 6FH,53.457321,-2.262773
M16 6FJ,53.457321,-2.262773
M16 6FL,53.457321,-2.262773
M16 6FN,53.457321,-2.262773
M16 6FP,53.457321,-2.262773
M16 6FQ,53.457321,-2.262773
M16 6FR,53.457338,-2.262773
M16 6FS,53.457338,-2.262773
M16 6FT,53.457338,-2.262773
M16 6FU,53.457338,-2.262773
M16 6FW,53.457338,-2.262773
M16 6FX,53.457338,-2.262773
M16 7AN,53.457321,-2.262773
M16 7BQ,53.457321,-2.262773
M16 7ED,53.459574,-2.255995
M16 7EE,53.459574,-2.255995
M16 7EG,53.459574,-2.255995
